Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,54.32,54.799999,53.389998999999996,54.799999,53778000,53.69675600000001
2016-01-05,54.93,55.389998999999996,54.540001000000004,55.049999,34079700,53.941722999999996
2016-01-06,54.32,54.400002,53.639998999999996,54.049999,39518900,52.96185500000001
2016-01-07,52.700001,53.490002000000004,52.07,52.169998,56564900,51.119702000000004
2016-01-08,52.369999,53.279999,52.150002,52.330002,48754000,51.276485
2016-01-11,52.509997999999996,52.849998,51.459998999999996,52.299999,36943800,51.247085999999996
2016-01-12,52.759997999999996,53.099998,52.060001,52.779999,36095500,51.717422
2016-01-13,53.799999,54.07,51.299999,51.639998999999996,66883600,50.600373
2016-01-14,52.0,53.419998,51.57,53.110001000000004,52381900,52.04078
2016-01-15,51.310001,51.970001,50.34,50.990002000000004,70739100,49.963462
2016-01-19,51.48,51.68,50.060001,50.560001,43564500,49.542118
2016-01-20,49.98,51.380001,49.099998,50.790001000000004,63273000,49.767487
2016-01-21,51.0,51.580002,50.299999,50.48,40191200,49.463727
2016-01-22,51.41,52.330002,51.259997999999996,52.290001000000004,37555800,51.237289000000004
2016-01-25,51.939999,52.650002,51.650002,51.790001000000004,34707700,50.747355
2016-01-26,51.790001000000004,52.439999,51.549999,52.169998,28900800,51.119702000000004
2016-01-27,52.009997999999996,52.200001,51.02,51.220001,36775200,50.188831
2016-01-28,51.860001000000004,52.209998999999996,51.25,52.060001,62513800,51.01192
2016-01-29,54.73,55.09,54.0,55.09,83611700,53.980918
2016-02-01,54.880001,55.09,54.5,54.709998999999996,44208500,53.608567
2016-02-02,54.169998,54.259997999999996,52.650002,53.0,56313800,51.932994
2016-02-03,53.25,53.389998999999996,51.259997999999996,52.16,57559800,51.109905
2016-02-04,52.099998,52.810001,51.369999,52.0,46987100,50.953126
2016-02-05,51.939999,52.0,49.560001,50.16,62009000,49.150169
2016-02-08,49.549999,49.57,48.189999,49.41,59290500,48.415269
2016-02-09,49.02,50.240002000000004,48.669998,49.279999,46740500,48.287884999999996
2016-02-10,49.889998999999996,50.389998999999996,49.52,49.709998999999996,38237000,48.709228
2016-02-11,48.68,50.110001000000004,48.509997999999996,49.689999,48878600,48.68963
2016-02-12,50.25,50.68,49.75,50.5,34243300,49.483325
2016-02-16,50.900002,51.09,50.130001,51.09,37291200,50.420881
2016-02-17,51.490002000000004,52.77,51.450001,52.419998,40789000,51.73346
2016-02-18,52.330002,52.950001,52.099998,52.189999,27176000,51.506473
2016-02-19,51.970001,52.279999,51.529999,51.82,33559100,51.14132
2016-02-22,52.279999,53.0,52.279999,52.650002,25008300,51.960451
2016-02-23,52.34,52.369999,50.98,51.18,28895300,50.509703
2016-02-24,50.689999,51.5,50.200001,51.360001000000004,33014500,50.687345
2016-02-25,51.73,52.099998,50.610001000000004,52.099998,26939500,51.417652000000004
2016-02-26,52.599998,52.68,51.099998,51.299999,35975900,50.62813
2016-02-29,51.349998,51.650002,50.66,50.880001,31654000,50.213632000000004
2016-03-01,50.970001,52.59,50.919998,52.580002,33024500,51.891368
2016-03-02,52.41,52.959998999999996,52.16,52.950001,29289900,52.256522
2016-03-03,52.970001,52.970001,51.779999,52.349998,24427800,51.664377
2016-03-04,52.400002,52.450001,51.709998999999996,52.029999,33034200,51.348569
2016-03-07,51.560001,51.799999,50.580002,51.029999,38407800,50.361666
2016-03-08,50.799999,52.130001,50.599998,51.650002,33835100,50.973548
2016-03-09,51.889998999999996,52.849998,51.860001000000004,52.84,28251600,52.147962
2016-03-10,52.93,52.939999,51.16,52.049999,38387800,51.368307
2016-03-11,53.0,53.07,52.380001,53.07,32275700,52.374949
2016-03-14,52.709998999999996,53.59,52.630001,53.169998,24083600,52.473638
2016-03-15,52.75,53.59,52.740002000000004,53.59,21104800,52.888139
2016-03-16,53.450001,54.599998,53.400002,54.349998,31691700,53.638183999999995
2016-03-17,54.209998999999996,55.0,54.0,54.66,28223900,53.944125
2016-03-18,54.919998,54.970001,53.450001,53.490002000000004,67625500,52.78945
2016-03-21,53.25,53.93,52.93,53.860001000000004,23925700,53.154603
2016-03-22,53.610001000000004,54.25,53.459998999999996,54.07,23124100,53.361852
2016-03-23,54.110001000000004,54.240002000000004,53.740002000000004,53.970001,20129000,53.263163
2016-03-24,53.84,54.330002,53.73,54.209998999999996,19950000,53.500018000000004
2016-03-28,54.209998999999996,54.290001000000004,53.330002,53.540001000000004,17025100,52.838795
2016-03-29,53.66,54.860001000000004,53.450001,54.709998999999996,23924300,53.993469
2016-03-30,54.93,55.639998999999996,54.900002,55.049999,23008300,54.32901700000001
2016-03-31,54.950001,55.59,54.860001000000004,55.23,26360500,54.506659
2016-04-01,55.049999,55.610001000000004,54.57,55.57,24399200,54.842206999999995
2016-04-04,55.43,55.66,55.0,55.43,18928800,54.704041000000004
2016-04-05,55.189999,55.299999,54.459998999999996,54.560001,19272300,53.845436
2016-04-06,54.360001000000004,55.200001,54.209998999999996,55.119999,21188700,54.3981
2016-04-07,54.869999,54.91,54.23,54.459998999999996,19225100,53.74674399999999
2016-04-08,54.669998,55.279999,54.32,54.419998,22167200,53.707267
2016-04-11,54.490002000000004,55.150002,54.299999,54.310001,21414200,53.59871
2016-04-12,54.369999,54.779999,53.759997999999996,54.650002,24944300,53.93425799999999
2016-04-13,55.119999,55.439999,54.889998999999996,55.349998,20818000,54.625087
2016-04-14,55.220001,55.580002,55.07,55.360001000000004,20877100,54.634958
2016-04-15,55.299999,55.919998,55.110001000000004,55.650002,28793800,54.921161
2016-04-18,55.490002000000004,56.59,55.209998999999996,56.459998999999996,23150300,55.72055
2016-04-19,56.630001,56.77,55.68,56.389998999999996,29596800,55.651467000000004
2016-04-20,56.290001000000004,56.5,55.490002000000004,55.59,36195700,54.861945
2016-04-21,55.799999,56.23,55.419998,55.779999,38909100,55.049455
2016-04-22,51.91,52.43,50.77,51.779999,126834100,51.101843
2016-04-25,51.779999,52.130001,51.630001,52.110001000000004,33226900,51.427523
2016-04-26,52.259997999999996,52.349998,51.09,51.439999,33532600,50.766296000000004
