,Date,RB05_p,RB05_v,RB05_po
122,2009-11-16,4430.0,556078.0,183114.0
123,2009-11-17,4433.0,788788.0,230700.0
124,2009-11-18,4440.0,808112.0,281566.0
125,2009-11-19,4485.0,1051986.0,317950.0
126,2009-11-20,4462.0,634920.0,303460.0
127,2009-11-23,4505.0,681004.0,301048.0
128,2009-11-24,4464.0,1032690.0,322596.0
129,2009-11-25,4517.0,1053452.0,369634.0
130,2009-11-26,4494.0,1769590.0,432160.0
131,2009-11-27,4286.0,2608656.0,483562.0
132,2009-11-30,4375.0,3268228.0,514984.0
133,2009-12-01,4367.0,2929698.0,572052.0
134,2009-12-02,4377.0,2660750.0,636968.0
135,2009-12-03,4385.0,2102022.0,608046.0
136,2009-12-04,4374.0,2500528.0,641718.0
137,2009-12-07,4373.0,1983820.0,664010.0
138,2009-12-08,4318.0,2779118.0,732298.0
139,2009-12-09,4267.0,1871676.0,735304.0
140,2009-12-10,4334.0,3354396.0,839430.0
141,2009-12-11,4396.0,3160862.0,865224.0
142,2009-12-14,4430.0,2822038.0,956258.0
143,2009-12-15,4394.0,2691114.0,978684.0
144,2009-12-16,4392.0,1644196.0,970528.0
145,2009-12-17,4386.0,1735560.0,931778.0
146,2009-12-18,4379.0,1061746.0,852086.0
147,2009-12-21,4418.0,1170240.0,909188.0
148,2009-12-22,4405.0,1933556.0,916252.0
149,2009-12-23,4408.0,1166438.0,892398.0
150,2009-12-24,4461.0,1507386.0,1018962.0
151,2009-12-25,4459.0,1129794.0,957350.0
152,2009-12-28,4525.0,1346854.0,1028662.0
153,2009-12-29,4499.0,1430618.0,996206.0
154,2009-12-30,4486.0,973818.0,952476.0
155,2009-12-31,4511.0,976200.0,911846.0
156,2010-01-04,4579.0,1809996.0,965458.0
157,2010-01-05,4589.0,1320756.0,987708.0
158,2010-01-06,4622.0,1481228.0,1027884.0
159,2010-01-07,4489.0,2196160.0,932514.0
160,2010-01-08,4462.0,1520076.0,894544.0
161,2010-01-11,4516.0,1130570.0,939144.0
162,2010-01-12,4510.0,1176288.0,957810.0
163,2010-01-13,4418.0,1461688.0,906786.0
164,2010-01-14,4433.0,1076498.0,938680.0
165,2010-01-15,4368.0,1276950.0,939862.0
166,2010-01-18,4395.0,1148302.0,943604.0
167,2010-01-19,4382.0,1236092.0,888684.0
168,2010-01-20,4364.0,1243448.0,847790.0
169,2010-01-21,4352.0,960118.0,862226.0
170,2010-01-22,4288.0,1207020.0,856708.0
171,2010-01-25,4278.0,870946.0,874294.0
